,DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1492,59:52.1,22.18,123.62299999999999,22.0,6.5,Mw,351.0,,,1.09,NEI,2010042640.0
1493,16:28.6,60.478,-177.65,14.9,6.3,Mw,302.0,,,0.78,NEI,2010043040.0
1494,27:45.1,29.645,140.951,84.0,6.1,Mw,479.0,,,0.84,NEI,2010050340.0
1495,15:43.2,-5.083,-77.541,132.0,6.0,Mw,502.0,,,0.75,NEI,2010051940.0
1496,46:52.0,-13.927999999999999,-74.352,101.4,6.1,Mw,525.0,,,0.86,NEI,2010052340.0
1497,53:08.0,25.773000000000003,129.944,10.0,6.5,Mw,548.0,,,0.89,NEI,2010052640.0
1498,51:45.9,11.132,93.471,112.0,6.5,Mw,422.0,,,1.09,NEI,2010053140.0
1499,16:38.6,-2.384,136.631,17.0,6.4,Mw,332.0,,,1.09,NEI,2011062620.0
1500,43:32.8,11.142999999999999,145.999,13.0,6.3,Mw,443.0,,,0.89,NEI,2010071040.0
1501,35:47.8,-43.522,171.83,12.0,7.0,Mw,365.0,,,1.3,NEI,2010090340.0
1502,53:13.6,24.695999999999998,-109.156,13.0,6.7,Mw,352.0,,,1.21,NEI,2010102140.0
1503,42:22.5,-3.487,100.08200000000001,20.1,7.8,Mw,379.0,,,1.17,NEI,2010102540.0
1504,41:59.2,28.412,59.18,12.0,6.7,Mw,279.0,,,1.21,NEI,2010122040.0
1505,19:40.7,26.901,143.69799999999998,14.0,7.4,Mw,603.0,,,0.99,NEI,2010122140.0
1506,56:32.5,53.351000000000006,171.61900000000003,14.0,6.1,Mw,760.0,,,0.75,NEI,2012061920.0
1507,23:23.5,28.776999999999997,63.951,68.0,7.2,Mw,372.0,,,1.3,NEI,2011011840.0
